Country Name,Country Code,Indicator Name,Indicator Code,Most Recent GINI value,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,GINI index (World Bank estimate),SI.POV.GINI,42.72,,,,,,,,,,,,,,,,,42.72,,,,,
Albania,ALB,GINI index (World Bank estimate),SI.POV.GINI,28.96,,,,,,,,,,,,,,,,,,,,,28.96,
Arab World,ARB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,GINI index (World Bank estimate),SI.POV.GINI,42.28,,,,,,,,,,,,,,,,,,,,,,42.28
Armenia,ARM,GINI index (World Bank estimate),SI.POV.GINI,31.54,,,,,,,,,,,,,,,,,,,,,,31.54
American Samoa,ASM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,GINI index (World Bank estimate),SI.POV.GINI,34.94,,,,,,,,,,,,,,,,,,,34.94,,,
Austria,AUT,GINI index (World Bank estimate),SI.POV.GINI,30.48,,,,,,,,,,,,,,,,,,,,,30.48,
Azerbaijan,AZE,GINI index (World Bank estimate),SI.POV.GINI,16.64,,,,,,,,,,,,,,16.64,,,,,,,,
Burundi,BDI,GINI index (World Bank estimate),SI.POV.GINI,33.36,,,,,,,,,,,,,,,33.36,,,,,,,
Belgium,BEL,GINI index (World Bank estimate),SI.POV.GINI,27.59,,,,,,,,,,,,,,,,,,,,,27.59,
Benin,BEN,GINI index (World Bank estimate),SI.POV.GINI,43.44,,,,,,,,,,,,,,,,,,,,43.44,,
Burkina Faso,BFA,GINI index (World Bank estimate),SI.POV.GINI,39.76,,,,,,,,,,,,,,,,,,39.76,,,,
Bangladesh,BGD,GINI index (World Bank estimate),SI.POV.GINI,31.98,,,,,,,,,,,,,,,,,,,31.98,,,
Bulgaria,BGR,GINI index (World Bank estimate),SI.POV.GINI,36.01,,,,,,,,,,,,,,,,,,,,,36.01,
Bahrain,BHR,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,GINI index (World Bank estimate),SI.POV.GINI,33.04,,,,,,,,,,,,,,,,33.04,,,,,,
Belarus,BLR,GINI index (World Bank estimate),SI.POV.GINI,26.01,,,,,,,,,,,,,,,,,,,,,26.01,
Belize,BLZ,GINI index (World Bank estimate),SI.POV.GINI,53.26,,,,,,,,53.26,,,,,,,,,,,,,,
Bermuda,BMU,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,GINI index (World Bank estimate),SI.POV.GINI,48.06,,,,,,,,,,,,,,,,,,,,,,48.06
Brazil,BRA,GINI index (World Bank estimate),SI.POV.GINI,52.87,,,,,,,,,,,,,,,,,,,,,,52.87
Barbados,BRB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,GINI index (World Bank estimate),SI.POV.GINI,38.65,,,,,,,,,,,,,,,,,,,,,38.65,
Botswana,BWA,GINI index (World Bank estimate),SI.POV.GINI,60.46,,,,,,,,,,,,,,,,,,60.46,,,,
Central African Republic,CAF,GINI index (World Bank estimate),SI.POV.GINI,56.24,,,,,,,,,,,,,,,,,56.24,,,,,
Canada,CAN,GINI index (World Bank estimate),SI.POV.GINI,33.68,,,,,,,,,,,,,,,,,,,33.68,,,
Central Europe and the Baltics,CEB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,GINI index (World Bank estimate),SI.POV.GINI,31.64,,,,,,,,,,,,,,,,,,,,,31.64,
Channel Islands,CHI,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,GINI index (World Bank estimate),SI.POV.GINI,50.45,,,,,,,,,,,,,,,,,,,,,,50.45
China,CHN,GINI index (World Bank estimate),SI.POV.GINI,42.06,,,,,,,,,,,,,,,,,,,42.06,,,
Cote d'Ivoire,CIV,GINI index (World Bank estimate),SI.POV.GINI,43.18,,,,,,,,,,,,,,,,,43.18,,,,,
Cameroon,CMR,GINI index (World Bank estimate),SI.POV.GINI,42.82,,,,,,,,,,,,,,,,42.82,,,,,,
"Congo, Rep.",COG,GINI index (World Bank estimate),SI.POV.GINI,40.16,,,,,,,,,,,,,,,,,,,,40.16,,
Colombia,COL,GINI index (World Bank estimate),SI.POV.GINI,53.49,,,,,,,,,,,,,,,,,,,,,,53.49
Comoros,COM,GINI index (World Bank estimate),SI.POV.GINI,55.93,,,,,,,,,,,,,55.93,,,,,,,,,
Cabo Verde,CPV,GINI index (World Bank estimate),SI.POV.GINI,47.19,,,,,,,,,,,,,,,,47.19,,,,,,
Costa Rica,CRI,GINI index (World Bank estimate),SI.POV.GINI,49.18,,,,,,,,,,,,,,,,,,,,,,49.18
Caribbean small states,CSS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,
